ticker,snapshot_utc,sector,industry,country,price,change_pct,pe,forward_pe,peg,eps_growth_this_year_pct,eps_next_year,eps_next_5y_pct,sales_yoy_ttm_pct,eps_qoq_pct,sales_qoq_pct,roe_pct,roic_pct,gross_margin_pct,oper_margin_pct,profit_margin_pct,debt_to_equity,lt_debt_to_equity,current_ratio,quick_ratio,short_float_pct,short_ratio,insider_own_pct,insider_trans_pct,institutional_own_pct,institutional_trans_pct,perf_week_pct,perf_month_pct,sma20_pct,sma50_pct,sma200_pct,rsi_14,52w_high_price,52w_high_distance_pct,52w_low_price,52w_low_distance_pct
PG,2025-09-27T23:58:43.349444+00:00,Consumer Defensive,Household & Personal Products,USA,152.5,0.23,23.44,20.51,4.77,2.35,7.44,4.91,0.29,16.57,1.74,31.23,20.18,51.34,24.15,18.61,0.68,0.49,0.7,0.49,0.75,2.21,0.07,-8.04,70.24,-0.36,-2.27,-2.84,-2.74,-2.22,-6.36,38.26,180.43,-15.48,149.91,1.73
PEP,2025-09-27T23:58:43.349444+00:00,Consumer Defensive,Beverages - Non-Alcoholic,USA,140.44,0.37,25.6,16.49,7.78,-1.62,8.51,3.29,-0.34,-58.85,0.99,39.88,13.07,54.72,15.12,8.23,2.79,2.14,0.78,0.6,1.47,2.26,0.34,0.0,76.19,0.16,-0.93,-4.88,-1.99,-2.82,-1.85,42.05,177.5,-20.88,127.6,10.06
LLY,2025-09-27T23:58:43.349444+00:00,Healthcare,Drug Manufacturers - General,USA,724.54,1.39,48.04,24.01,1.16,75.78,30.18,41.43,36.83,91.71,37.64,86.7,26.31,82.64,42.13,25.91,2.18,1.87,1.28,1.0,0.86,1.66,10.33,-0.42,73.52,-0.29,-3.65,-1.31,-2.76,-1.44,-7.57,44.14,937.0,-22.67,623.78,16.15
XOM,2025-09-27T23:58:43.349444+00:00,Energy,Oil & Gas Integrated,USA,117.22,1.41,16.62,15.68,2.92,-14.01,7.48,5.7,-3.79,-23.6,-12.35,11.68,10.47,22.05,11.2,9.44,0.15,0.13,1.25,0.88,1.05,2.87,0.1,-0.05,66.28,-0.98,3.9,3.96,3.63,5.89,7.13,65.92,126.34,-7.22,97.8,19.86
KO,2025-09-27T23:58:43.349444+00:00,Consumer Defensive,Beverages - Non-Alcoholic,USA,65.67,-0.47,23.27,20.44,3.77,3.36,3.21,6.18,1.34,58.19,3.32,44.76,16.56,61.46,28.23,25.88,1.73,1.57,1.21,0.98,0.92,2.45,0.77,-1.43,74.4,0.35,-1.14,-4.59,-2.31,-4.26,-4.13,32.95,74.38,-11.71,60.62,8.34
BAC,2025-09-27T23:58:43.349444+00:00,Financial,Banks - Diversified,USA,52.21,0.69,15.29,12.22,1.02,14.51,4.27,14.93,4.95,7.89,0.34,9.46,4.36,,15.41,13.4,2.57,1.04,0.98,,1.41,2.71,0.19,-1.04,75.22,-1.02,-0.08,3.63,2.45,6.56,15.81,68.4,52.88,-1.27,33.06,57.9
CSCO,2025-09-27T23:58:43.349444+00:00,Technology,Communication Equipment,USA,67.22,-0.93,25.74,15.47,4.61,6.18,4.34,5.58,5.3,31.99,7.56,22.65,14.75,63.94,22.66,18.45,0.63,0.51,1.0,0.91,1.14,2.25,0.25,-1.86,78.24,-0.88,-1.45,-1.78,-0.58,-1.3,6.1,46.58,72.55,-7.35,52.11,29.0
ADBE,2025-09-27T23:58:43.349444+00:00,Technology,Software - Application,USA,360.37,1.75,22.45,15.42,1.77,12.85,23.38,12.71,10.69,11.06,10.72,52.87,37.95,88.43,36.58,30.01,0.56,0.56,1.02,1.02,2.3,2.26,0.36,-0.03,83.8,-0.21,-1.51,1.13,1.57,1.39,-9.2,53.35,557.9,-35.41,330.04,9.19
CRM,2025-09-27T23:58:43.349444+00:00,Technology,Software - Application,USA,243.43,1.03,35.35,19.12,2.81,11.57,12.73,12.56,8.33,33.56,9.77,11.2,9.2,69.91,21.22,16.87,0.19,0.18,1.04,1.04,1.41,1.56,2.61,-0.72,82.44,-1.37,-1.48,-2.69,-1.37,-2.43,-13.72,46.46,369.0,-34.03,226.48,7.48
AVGO,2025-09-27T23:58:43.349444+00:00,Technology,Semiconductors,USA,334.53,-0.47,85.47,36.05,2.52,38.61,9.28,33.98,28.01,311.84,22.03,27.08,13.91,63.13,39.33,31.59,0.88,0.86,1.5,1.37,1.07,2.27,1.96,-2.35,77.76,0.86,-3.02,11.42,-1.01,6.75,37.5,52.8,374.23,-10.61,138.1,142.24
